"allele" "1-D" "Hexp" "Evenness"
"587_1" 4 0.565 0.594736842105263 0.717675433552099
"7LF_1" 7 0.8203125 0.875 0.883218376897428
"FG7_1" 6 0.767361111111111 0.800724637681159 0.849065066179425
"ORA_1" 3 0.625 0.652173913043478 0.927996739409965
"147_1" 11 0.864583333333333 0.902173913043478 0.805997024286684
"ORP_1" 6 0.753472222222222 0.786231884057971 0.813542076967805
"468_1" 2 0.0798611111111109 0.0833333333333331 0.458951985267074
"QWB_1" 2 0.277777777777778 0.289855072463768 0.675721005434548
"130_1" 4 0.71875 0.75 0.930393060725883
"829_1" 2 0.0798611111111109 0.0833333333333331 0.458951985267074
"EZE_1" 5 0.704861111111111 0.735507246376812 0.822093036434603
"84P_1" 3 0.541666666666667 0.565217391304348 0.826722983459363
"WMU_1" 6 0.743055555555556 0.77536231884058 0.778259206299939
"GVB_1" 4 0.648760330578512 0.67965367965368 0.834541578845271
"L7Z_1" 4 0.41 0.431578947368421 0.567127494938774
"SGU_1" 5 0.765625 0.816666666666667 0.924968894528506
"MIW_1" 4 0.4140625 0.441666666666667 0.553966335975649
"mean" 4.58823529411765 0.575294725328148 0.60371857917288 0.754658369674711
