17,12,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codominant,data,,borbonica,borya0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individuo,Pop,587_1,587_2,7LF_1,7LF_2,FG7_1,FG7_2,ORA_1,ORA_2,147_1,147_2,ORP_1,ORP_2,468_1,468_2,QWB_1,QWB_2,130_1,130_2,829_1,829_2,EZE_1,EZE_2,84P_1,84P_2,WMU_1,WMU_2,GVB_1,GVB_2,L7Z_1,L7Z_2,SGU_1,SGU_2,MIW_1,MIW_2
6ME_24_3,borbonica,308,308,224,224,473,473,151,151,130,130,169,169,465,465,119,119,276,276,332,332,146,148,242,242,400,400,111,111,381,381,113,115,261,261
6ME24_4,borbonica,327,327,224,224,473,479,151,151,130,130,170,170,465,465,119,119,275,275,332,332,146,148,239,239,401,401,0,0,0,0,117,119,258,258
20ME_24_1,borbonica,308,314,222,222,473,473,146,153,126,152,169,169,465,465,110,119,276,281,332,332,146,148,241,241,404,407,111,111,382,389,115,119,261,261
21ME_24_5,borbonica,308,314,0,0,472,472,153,153,126,152,169,169,465,465,110,119,276,276,332,332,146,148,242,242,400,403,111,111,381,381,0,0,0,0
23ME_24_5,borbonica,308,314,0,0,473,473,146,153,155,161,165,169,460,465,110,110,276,281,332,332,146,148,241,241,405,407,110,110,384,389,0,0,0,0
9ME24_1,borya0,308,308,219,219,467,476,146,146,144,144,164,164,465,465,119,119,270,275,332,332,146,146,241,241,404,404,107,111,381,381,111,113,261,261
13ME_24_10,borya0,308,308,219,219,467,477,153,153,144,144,164,164,465,465,119,119,270,270,332,332,153,155,242,242,404,407,99,99,381,381,113,115,261,261
15ME_24_4,borya0,308,308,217,217,467,476,153,153,141,144,164,164,465,465,119,119,275,275,332,332,146,146,241,241,404,407,107,107,381,389,115,117,259,271
16ME_24_9,borya0,314,314,218,225,467,476,146,146,144,148,169,169,465,465,119,119,270,270,330,332,153,156,242,242,405,405,107,107,381,381,115,117,261,261
24ME_24_5,borya0,0,0,0,0,467,476,146,146,131,131,168,168,465,465,119,119,270,270,332,332,148,153,241,241,404,404,107,107,381,381,0,0,0,0
26ME_24_5,borya0,0,0,0,0,476,476,146,146,134,134,170,170,465,465,119,119,270,270,332,332,153,156,241,241,404,404,107,107,0,0,0,0,0,0
12ME_24,borya0,308,320,214,214,473,479,153,153,146,152,166,166,465,465,119,119,275,281,332,332,146,148,241,241,404,407,111,111,381,381,117,119,261,261
